READER_ID,ATD_SENSOR_ID,KITS_ID,ATD_LOCATION_ID,MODIFIED_DATE,SENSOR_STATUS,TURN_ON_DATE,SENSOR_TYPE,SENSOR_MFG,COA_INTERSECTION_ID,PRIMARY_ST_SEGMENT_ID,CROSS_ST_SEGMENT_ID,LANDMARK,PRIMARY_ST_AKA,CROSS_ST_AKA,SIGNAL_ENG_AREA,COUNCIL_DISTRICT,JURISDICTION,LOCATION_TYPE,LOCATION_NAME,PRIMARY_ST,CROSS_ST,PRIMARY_ST_BLOCK,COUNTY,CROSS_ST_BLOCK,Location,IP_COMM_STATUS,COMM_STATUS_DATETIME_UTC,LOCATION_LATITUDE,LOCATION_LONGITUDE
congress_benwhite,39,,LOC16-002035,,TURNED_ON,,BLUETOOTH,,5154265,,,,,,SOUTHWEST,3,,ROADWAY,CONGRESS AVE / BEN WHITE BLVD SVRD,CONGRESS AVE,BEN WHITE BLVD SVRD,3900,,100,"(30.2234097, -97.7635956)",OFFLINE,03/31/2018 08:35:00 AM +0000,30.2234097,-97.7635956
cap_tx_hwy_loop1_nbsr,26,,LOC16-004345,,TURNED_ON,,BLUETOOTH,,5149983,,,,,,SOUTHWEST,8,,ROADWAY,CAPITAL OF TEXAS HWY / MOPAC EXPY SVRD,CAPITAL OF TEXAS HWY,MOPAC EXPY SVRD,3511,,3445,"(30.2477283, -97.8040085)",OFFLINE,05/09/2018 08:35:00 AM +0000,30.2477283,-97.8040085
fm2222_mesa,52,,LOC16-004600,,TURNED_ON,,BLUETOOTH,,5153101,,,,,,NORTHWEST,10,,ROADWAY,FM 2222 RD / MESA DR,FM 2222 RD,MESA DR,4014,,5700,"(30.3413143, -97.7696381)",ONLINE,05/09/2018 08:35:00 AM +0000,30.3413143,-97.7696381
congress_11th,36,,LOC16-001235,,TURNED_ON,,BLUETOOTH,,5157222,,,,,,CENTRAL,1,,ROADWAY,CONGRESS AVE / 11TH ST,CONGRESS AVE,11TH ST,1000,,101,"(30.2727489, -97.7411041)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2727489,-97.7411041
congress_5th,37,,LOC16-001535,,TURNED_ON,,BLUETOOTH,,5156914,,,,,,CENTRAL,9,,ROADWAY,5TH ST / CONGRESS AVE,5TH ST,CONGRESS AVE,100,,500,"(30.2671185, -97.7431717)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2671185,-97.7431717
congress_6th,38,,LOC16-001480,,TURNED_ON,,BLUETOOTH,,5156982,,,,,,CENTRAL,9,,ROADWAY,6TH ST / CONGRESS AVE,6TH ST,CONGRESS AVE,100,,600,"(30.2680664, -97.7428131)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2680664,-97.7428131
congress_wm_cannon,45,,LOC16-002015,,TURNED_ON,,BLUETOOTH,,5152526,,,,,,SOUTHWEST,2,,ROADWAY,CONGRESS AVE / WILLIAM CANNON DR,CONGRESS AVE,WILLIAM CANNON DR,6400,,100,"(30.1930141, -97.7788773)",ONLINE,03/29/2018 08:35:00 AM +0000,30.1930141,-97.7788773
guadalupe_6th,64,,LOC16-001465,,TURNED_ON,,BLUETOOTH,,5156452,,,,,,CENTRAL,9,,ROADWAY,6TH ST / GUADALUPE ST,6TH ST,GUADALUPE ST,400,,600,"(30.2690239, -97.7462616)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2690239,-97.7462616
lamar_6th,72,,LOC16-000585,,TURNED_ON,,BLUETOOTH,,5155322,,,,,,CENTRAL,9,,ROADWAY,6TH ST / LAMAR BLVD,6TH ST,LAMAR BLVD,900,,500,"(30.2715378, -97.7539673)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2715378,-97.7539673
lavaca_6th,90,,LOC16-001470,,TURNED_ON,,BLUETOOTH,,5156605,,,,,,CENTRAL,9,,ROADWAY,6TH ST / LAVACA ST,6TH ST,LAVACA ST,300,,600,"(30.2687168, -97.7452011)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2687168,-97.7452011
5th_red_river,3,,LOC16-001560,,TURNED_ON,,BLUETOOTH,,5157789,,,,,,CENTRAL,9,,ROADWAY,5TH ST / RED RIVER ST,5TH ST,RED RIVER ST,500,,500,"(30.2655354, -97.7374878)",ONLINE,04/19/2018 08:35:00 AM +0000,30.2655354,-97.7374878
lamar_barton_springs,74,,LOC16-000600,,TURNED_ON,,BLUETOOTH,,5154798,,,,,,SOUTHWEST,5,,ROADWAY,LAMAR BLVD / BARTON SPRINGS RD,LAMAR BLVD,BARTON SPRINGS RD,419,,1301,"(30.2608624, -97.758522)",ONLINE,04/26/2018 08:35:00 AM +0000,30.2608624,-97.758522
5th_campbell,2,,LOC16-002815,,TURNED_ON,,BLUETOOTH,,5153901,,,,,,CENTRAL,9,,ROADWAY,5TH ST / CAMPBELL ST,5TH ST,CAMPBELL ST,1600,,500,"(30.2748566, -97.7648392)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2748566,-97.7648392
anderson_mill_bethany,11,,LOC16-004875,,TURNED_ON,,BLUETOOTH,,,,,Bethany,,,NORTHWEST,6,,ROADWAY,9700 BLK ANDERSON MILL RD (Bethany),ANDERSON MILL RD,,9700,,,"(30.4469604, -97.7977066)",ONLINE,03/29/2018 08:35:00 AM +0000,30.4469604,-97.7977066
fm973_pearce,60,,LOC16-005240,,TURNED_ON,,BLUETOOTH,,5166703,,,,,,SOUTHEAST,2,,ROADWAY,FM 973 RD / PEARCE LN,FM 973 RD,PEARCE LN,4700,,10800,"(30.18069517, -97.64674967)",ONLINE,04/04/2018 08:35:00 AM +0000,30.18069517,-97.64674967
7th_shady,9,,LOC16-001805,,TURNED_ON,,BLUETOOTH,,5162417,,,,,,CENTRAL,3,,ROADWAY,7TH ST / SHADY LN,7TH ST,SHADY LN,4600,,702,"(30.2533531, -97.6975708)",ONLINE,04/27/2018 08:35:00 AM +0000,30.2533531,-97.6975708
7th_springdale,10,,LOC16-001800,,TURNED_ON,,BLUETOOTH,,5161943,,,,,,CENTRAL,3,,ROADWAY,7TH ST / SPRINGDALE RD,7TH ST,SPRINGDALE RD,3500,,700,"(30.2560368, -97.7016754)",ONLINE,04/27/2018 08:35:00 AM +0000,30.2560368,-97.7016754
fm2222_loop360,50,,LOC16-004845,,TURNED_ON,,BLUETOOTH,,5150922,,,,,,NORTHWEST,10,,ROADWAY,CAPITAL OF TEXAS HWY / 2222 RD,CAPITAL OF TEXAS HWY,FM 2222 RD,5800,,5721,"(30.359251, -97.7905273)",OFFLINE,05/13/2018 08:35:00 AM +0000,30.359251,-97.7905273
lamar_5th,71,,LOC16-000590,09/15/2017 05:14:00 PM +0000,TURNED_ON,,BLUETOOTH,Wavetronix,5155253,,,,,,CENTRAL,9,,ROADWAY, 5TH ST / LAMAR BLVD, 5TH ST, LAMAR BLVD,926,,500,"(30.2702904, -97.7546005)",OFFLINE,03/04/2018 03:35:00 PM +0000,30.2702904,-97.7546005
2nd_san_jacinto,1,,LOC16-000750,,TURNED_ON,,BLUETOOTH,,5157156,,,,,,CENTRAL,9,,ROADWAY,SAN JACINTO BLVD / 2ND ST,SAN JACINTO BLVD,2ND ST,200,,200,"(30.2636414, -97.7417908)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2636414,-97.7417908
fm812_fm973,59,,LOC16-007020,,TURNED_ON,,BLUETOOTH,,5165411,,,,,,SOUTHEAST,2,,ROADWAY,FM 973 RD / 812 RD,FM 973 RD,FM 812 RD,7320,,10000,"(30.15286, -97.670519)",ONLINE,03/29/2018 08:35:00 AM +0000,30.15286,-97.670519
lamar_51st,70,,LOC16-000010,,TURNED_ON,,BLUETOOTH,,5158588,,,,,,NORTHEAST,"7,9",,ROADWAY,LAMAR BLVD / 51ST ST,LAMAR BLVD,51ST ST,5000,,601,"(30.3187695, -97.7308197)",ONLINE,03/29/2018 08:35:00 AM +0000,30.3187695,-97.7308197
lamar_airport,73,,LOC16-000040,,TURNED_ON,,BLUETOOTH,,5159899,,,,,,NORTHEAST,"7,4",,ROADWAY,AIRPORT BLVD / LAMAR BLVD,AIRPORT BLVD,LAMAR BLVD,7001,,7001,"(30.3376293, -97.7188721)",ONLINE,03/29/2018 08:35:00 AM +0000,30.3376293,-97.7188721
