"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 07/11/2018. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 5,408 Crashes containing 17,883 Units and 23,486 Persons"

"Query Filters:"
"Crash Year Is In 2015 or 2016 or 2017"
"City Is Equal To Austin"

"Managed Filters:"
"Driving Under the Influence of Alcohol or Drugs"

"Crash ID","Crash Severity","Crash Time","Crash Year","Day of Week","Latitude","Longitude","Street Name","Street Number"
"14255343","Not Injured","2240","2015","Sunday","30.27832806","-97.73001625","IH0035","NO DATA"
"14314739","Not Injured","0056","2015","Sunday","30.24687897","-97.75751108","MARY ST W","677"
"14218574","Not Injured","0204","2015","Monday","30.21601611","-97.74085377","SH0071","NO DATA"
"14222729","Not Injured","2327","2015","Monday","30.23368183","-97.74122189","IH0035","NO DATA"
"14231553","Not Injured","0250","2015","Monday","30.1516648","-97.74225247","WILEY WAY","8700"
"14233683","Not Injured","0126","2015","Monday","30.46127088","-97.79405249","US0183","NO DATA"
"14222732","Not Injured","2202","2015","Tuesday","30.42433182","-97.67155553","IH0035","NO DATA"
"14248209","Non-Incapacitating Injury","0010","2015","Tuesday","30.43088756","-97.67029946","IH0035","NO DATA"
"14250625","Possible Injury","0305","2015","Tuesday","30.34026071","-97.5917374","US0290","NO DATA"
"14241512","Not Injured","2223","2015","Wednesday","30.26789767","-97.74287096","CONGRESS AVE","583"
"14650200","Not Injured","0020","2015","Wednesday","30.24443201","-97.78118735","SL0343","2768"
"15540998","Not Injured","0029","2015","Wednesday","30.1741048","-97.79888245","S 1ST ST","8899"
"14230800","Non-Incapacitating Injury","2156","2015","Thursday","30.21924232","-97.80695409","WEST GATE BLVD","5670"
"14246860","Killed","0140","2015","Thursday","30.30919477","-97.69551247","CLOVERLEAF DR","1700"
"14250877","Non-Incapacitating Injury","1954","2015","Thursday","30.32184678","-97.70685604","IH0035","NO DATA"
"14230806","Possible Injury","2051","2015","Friday","30.40599113","-97.71532099","BURNET RD","11949"
"14230891","Not Injured","2336","2015","Friday","30.30994693","-97.6558768","PURPLE SAGE DR","5510"
"14234737","Not Injured","0425","2015","Friday","30.22322191","-97.76429426","US0290","100"
"14238057","Not Injured","2243","2015","Friday","30.29186415","-97.76016751","SL0001","NO DATA"
"14296641","Not Injured","2150","2015","Friday","30.26215478","-97.67944247","THURGOOD AVE","6200"
"14230973","Not Injured","1712","2015","Saturday","30.23106137","-97.70332453","MARIGOLD TER","6016"
"14253582","Possible Injury","0250","2015","Saturday","30.15872477","-97.83342355","FM2304","11125"
"14253586","Non-Incapacitating Injury","0253","2015","Saturday","30.33372378","-97.75562367","SL0001","NO DATA"
"14253625","Not Injured","1644","2015","Saturday","30.19655364","-97.81534213","GAINES MILL LN","7814"
"14298643","Possible Injury","1734","2015","Saturday","30.40849939","-97.67454184","IH0035","NO DATA"
"14228480","Not Injured","1934","2015","Sunday","30.39386598","-97.64494185","DESSAU RD","NO DATA"
"14255575","Not Injured","0229","2015","Sunday","No Data","No Data","SL0360","NO DATA"
"14256085","Not Injured","2259","2015","Sunday","30.26303478","-97.72651247","E 6TH ST","1600"
"14257584","Killed","2123","2015","Sunday","30.29363645","-97.74720754","N LAMAR BLVD","2798"
"14311618","Unknown","1558","2015","Sunday","30.35288632","-97.67873556","ABERDEEN WAY","9423"
"14231080","Not Injured","0230","2015","Monday","No Data","No Data","MANOR RD","NO DATA"
"14234955","Not Injured","0003","2015","Monday","30.44876511","-97.79048673","US0183","NO DATA"
"14251947","Non-Incapacitating Injury","0113","2015","Monday","30.27091478","-97.74558246","GUADALUPE ST","799"
"14253669","Non-Incapacitating Injury","0027","2015","Monday","30.26777478","-97.74911246","NUECES ST","399"
"14253721","Possible Injury","0154","2015","Monday","30.26581182","-97.74226238","E 4TH ST","191"
"14391843","Possible Injury","1729","2015","Monday","No Data","No Data","W PARMER LN","NO DATA"
"14230046","Not Injured","0215","2015","Tuesday","30.42920578","-97.78225413","SPICEWOOD SPRINGS RD","8500"
"14240676","Not Injured","0037","2015","Tuesday","30.35801082","-97.71211826","LARKSPUR RD","1238"
"14257769","Not Injured","1901","2015","Tuesday","30.1724048","-97.79957245","W SLAUGHTER LN","NO DATA"
"14257770","Non-Incapacitating Injury","2028","2015","Tuesday","30.26964496","-97.67066949","DARBY ST","3432"
"14257771","Non-Incapacitating Injury","2028","2015","Tuesday","30.2767379","-97.67918207","DELANO ST","1352"
"14237162","Not Injured","2123","2015","Wednesday","30.22296815","-97.76391347","US0290","NO DATA"
"14234813","Non-Incapacitating Injury","0253","2015","Thursday","30.23763363","-97.7388941","IH0035","NO DATA"
"14240673","Possible Injury","0000","2015","Thursday","30.21853225","-97.75548309","US0290","NO DATA"
"14251403","Not Injured","0146","2015","Thursday","30.40795135","-97.67464447","IH0035","NO DATA"
"14257784","Not Injured","0242","2015","Thursday","30.28193035","-97.72796193","IH0035","NO DATA"
